Timestamp,Type of Exercise,Who are you?,Time,Distance (in miles),What kind of Calisthenics?,How many?,How many stairs?,Stairmaster time?,Elliptical time?,Weights Time,General Cardio Time:,Comments:,Steps,Walking Distance (in miles),How Long?
2/3/2015 19:40:53,Weights,Laxmi,,,,,,,,0:20:00,,,,,
2/4/2015 9:41:42,Run,AT,0:45:00,2.31,,,,,,,,,,,
2/4/2015 20:12:36,Elliptical,Laxmi,,,,,,,1:06:00,,,,,,
2/4/2015 20:12:52,Bike,Laxmi,0:22:00,6.75,,,,,,,,,,,
2/4/2015 20:13:09,Weights,Laxmi,,,,,,,,0:20:00,,,,,
2/5/2015 9:46:45,Run,AT,0:30:00,1.76,,,,,,,,,,,
2/5/2015 9:47:15,Weights,AT,,,,,,,,0:40:18,,,,,
2/5/2015 9:47:40,Calisthenics,AT,,,Push-ups,10,,,,,,,,,
2/5/2015 9:48:06,Calisthenics,AT,,,Sit-ups,20,,,,,,,,,
2/5/2015 9:48:19,Calisthenics,AT,,,Leg Raises,20,,,,,,,,,
2/6/2015 9:05:15,Weights,AT,,,,,,,,0:37:31,,,,,
2/6/2015 9:06:40,Calisthenics,AT,,,Sit-ups,20,,,,,,,,,
2/6/2015 9:07:30,Calisthenics,AT,,,Leg Raises,25,,,,,,,,,
2/6/2015 9:19:30,Run,AT,0:10:15,0.5,,,,,,,,,,,
2/8/2015 19:18:26,Other Cardio,AT,,,,,,,,,1:30:00,Snowboarding ,,,
2/9/2015 19:18:06,Bike,Laxmi,0:44:00,12.34,,,,,,,,,,,
2/9/2015 19:18:29,Elliptical,Laxmi,,,,,,,0:33:00,,,,,,
2/9/2015 19:19:33,Weights,Laxmi,,,,,,,,0:10:00,,,,,
2/10/2015 11:57:30,Other Cardio,Vivek,,,,,,,,,1:00:00,league basketball game + shootaround warmup,,,
2/11/2015 7:23:44,Weights,Vivek,,,,,,,,0:45:00,,,,,
2/11/2015 7:23:57,Run,Vivek,0:10:00,1.2,,,,,,,,,,,
2/12/2015 9:52:17,Run,Vivek,0:27:00,3.3,,,,,,,,,,,
2/14/2015 9:32:57,Weights,Vivek,,,,,,,,0:30:00,,,,,
2/14/2015 9:33:46,Bike,Vivek,0:16:56,4,,,,,,,,,,,
2/15/2015 6:11:04,Bike,Vivek,0:16:18,3.8,,,,,,,,,,,
2/15/2015 9:50:42,Bike,Vivek,0:15:47,3.7,,,,,,,,,,,
2/15/2015 12:40:59,Bike,Vivek,0:20:22,5,,,,,,,,,,,
2/16/2015 9:01:32,Other Cardio,Vivek,,,,,,,,,0:07:00,7 min workout challenju,,,
2/16/2015 20:34:33,Weights,Vivek,,,,,,,,0:35:00,,,,,
2/16/2015 20:34:59,Run,Vivek,0:28:09,3.6,,,,,,,,,,,
2/17/2015 7:45:50,Run,Vivek,0:25:57,3.5,,,,,,,,,,,
2/17/2015 16:18:51,Calisthenics,Vivek,,,Pull-ups,10,,,,,,,,,
